total	food	members
29450.66	6381.188	5
39466.11	9635.467	5
45812.41	6280.604	5
34785.41	11346.51	5
28980.5	10009.7	5
29915.01	9612.542	5
36776.7	10217.18	5
32861.59	5611.461	5
31959.38	7807.583	5
55438	9740.888	5
63796.4	8138.57	5
24614.44	8012.529	5
67044.52	9151.223	5
35607.22	5437.568	5
26961.95	8100.643	5
27666.19	5968.084	5
33427.08	7186.968	5
36651.09	8565.557	5
37075.82	7063.91	5
33933.08	6480.339	5
46750.86	6263.236	5
62877.37	7143.212	5
47255.19	9621.274	5
44699.63	11666.47	5
29282.11	5809.706	5
32724.5	8901.98	5
38116.5	10052.16	5
