"","desempleo","import_TIC","Inversion","industria","form_bruta_capital"
"1",20.5200004577637,9.0038572795,2.43922655930173,27274801347.4684,14878732011.2935
"2",15.039999961853,9.3307625847,2.58822658457427,26736002941.6865,15745554551.9172
"3",14.4799995422363,9.8608284452,2.17806523001415,26968247828.1945,16900128593.838
"4",13.2200002670288,10.8938517307,1.81790827569731,27354936011.2105,17680731082.0191
"5",12.7399997711182,10.1260815004,2.66108247569192,34803526985.6585,22761814795.9329
"6",11.0600004196167,13.0372802767,7.02889310394887,44192730355.3179,31535643519.9033
"7",11.289999961853,11.9244952393,4.17688687666121,49961895515.3601,37073626402.575
"8",10.25,10.8793648902,4.30967390986053,63048413124.6632,48358464388.8794
"9",10.4899997711182,10.1428228255,4.3619838957636,77817309886.8721,57448976381.8503
"10",11.289999961853,8.811075072,3.45732401234812,72617431510.3228,51098667215.5049
"11",10.9799995422363,9.6298649584,2.2438302406989,89898732182.3756,62725116845.8612
"12",10.1099996566772,8.5004687082,4.37298600328904,111543527964.204,77022324342.9406
"13",9.73999977111816,8.9731080935,4.05476264326699,123908124004.29,81990837643.9615
"14",9.05000019073486,9.9474909946,4.24227555289114,125133689782.342,84763081130.8287
"15",8.56999969482422,10.1665719516,4.24250525784449,118090840106.885,91479537471.8813
"16",8.30000019073486,9.3328752602,3.95954185068282,83904811474.4878,69771447767.8443
"17",8.6899995803833,9.2147403639,4.8998275387021,78311876046.0659,65523256653.4595
"18",8.86999988555908,9.6227688188,4.39294490125625,83631182362.2144,67364942296.8119
"19",9.10999965667725,9.901729313,3.38083576651695,89884169727.4152,70834900923.7731
"20",9.96000003814697,9.9115098566,4.32953910442896,83988157148.9375,69082789863.3993
"21",15.039999961853,10.9053861106,2.75938788621275,64299155953.1403,52017480203.0749
