Total
86
86
87
86
86
86
86
85
86
85
86
86
85
85
86
85
85
85
86
85
85
85
85
84
84
84
85
84
84
84
84
84
83
83
85
83
83
83
84
83
84
84
85
85
85
86
87
86
86
86
87
86
86
87
88
87
87
87
88
88
88
88
89
88
87
88
88
88
87
88
88
87
87
91
91
91
91
91
92
91
91
92
92
92
92
