city;city.code;temp.annual;hsun.annual;prec.annual;temp.aut;temp.sum;temp.spr;temp.win;hsun.aut;hsun.sum;hsun.spr;hsun.win;prec.aut;prec.sum;prec.spr;prec.win;latitude;longitude;altitude
CASTELLO;CAS;18.52;3057.60;453.40;15.90;25.63;20.40;12.13;577.60;852.20;993.60;634.20;66.40;139.60;49.40;198.00;39.98598;-0.0376709;36
VALENCIA;VAL;19.17;2726.50;420.00;16.87;25.97;20.50;13.33;534.50;763.80;839.90;588.30;113.70;114.60;75.20;116.50;39.47024;-0.3768049;23.3349
BADAJOZ;BAD;18.17;2994.00;309.30;15.10;25.33;21.63;10.60;427.00;1010.50;947.10;609.40;159.70;15.10;83.10;51.40;38.8786;-6.970284;192.0375
CACERES;CAC;17.09;3217.70;315.00;13.63;25.17;20.30;9.27;516.90;1074.10;977.60;649.10;183.10;5.00;61.70;65.20;39.47618;-6.37076;434.6162
A CORUNA;ACO;15.55;2258.90;927.80;14.53;20.00;16.10;11.57;311.10;769.10;617.50;561.20;428.50;96.00;317.50;85.80;43.37087;-8.395835;16.76067
LUGO;LUG;13.07;1964.50;752.20;11.63;18.40;15.17;7.07;297.30;635.80;678.30;353.10;247.20;84.10;108.50;312.40;43.01208;-7.555851;468.2347
OURENSE;OUR;15.90;2269.30;495.60;13.60;22.23;18.63;9.13;292.10;799.40;787.90;389.90;206.20;56.60;115.70;117.10;42.34001;-7.864641;144.5574
SANTIAGO DE COMPOSTELA;COM;14.12;2047.20;1214.80;12.97;18.63;16.37;8.50;319.40;603.60;750.30;373.90;416.90;225.30;223.60;349.00;42.88045;-8.546304;250.5518
PONTEVEDRA;PON;15.08;2242.30;1057.40;14.17;19.20;17.23;9.73;314.90;749.70;779.60;398.10;377.50;125.90;213.90;340.10;42.43362;-8.648053;18.60786
MADRID;MAD;16.58;2952.00;278.40;12.60;25.37;20.03;8.33;570.00;897.00;957.00;528.00;95.20;16.30;91.80;75.10;40.41669;-3.700346;653.0047
MURCIA;MUR;20.03;3182.20;236.50;17.03;28.20;22.03;12.87;637.60;952.00;936.90;655.70;39.00;90.00;18.60;88.90;37.98344;-1.12989;51.07087
PAMPLONA;PAM;13.35;1865.90;810.00;10.43;20.43;17.00;6.77;299.60;591.10;633.30;341.90;114.50;187.40;148.80;359.30;42.81721;-1.646767;458.1406
LOGRONO;LOG;14.48;2468.80;435.20;10.70;21.93;17.53;7.77;386.30;858.00;817.60;406.90;64.80;114.20;93.90;162.30;42.46577;-2.449995;396.4728
VITORIA-GASTEIZ;VIT;12.38;2005.40;787.50;10.17;19.03;14.93;5.40;379.90;672.50;654.20;298.80;127.10;86.80;92.70;480.90;42.84641;-2.667893;534.3582
BILBAO;BIL;15.22;1491.10;1163.60;14.80;20.30;16.93;8.83;344.30;488.60;453.60;204.60;258.40;129.40;136.30;639.50;43.25696;-2.923441;17.88842
DONOSTIA-SAN SEBASTIAN;DON;14.13;1847.80;1437.10;14.20;18.87;15.47;8.00;421.70;632.30;524.20;269.60;199.60;313.00;237.90;686.60;43.32074;-1.984421;6.746843
CEUTA;CEU;19.29;2663.40;408.00;18.37;25.13;19.70;13.97;452.80;880.90;776.50;553.20;127.40;5.40;57.80;217.40;35.88829;-5.316195;13.47725
MELILLA;MEL;19.59;2830.50;341.70;17.97;26.23;20.13;14.03;635.20;828.80;727.90;638.60;26.10;4.50;54.10;257.00;35.29234;-2.938794;10.3337
