country,code,region,region.code,EU,OECD,income.level,income.level.code,life.expectancy,fertility.rate,mortality.rate,pop.growth,pop.rural,pop.0.14,pop.15.24,pop.25.64,pop65.older,GDP.percapita,log.GDP.percapita,GDP.growth
Tonga,TON,East Asia & Pacific,EAP,no,no,Upper middle,UM,73.03,3.6,14.1,0.71,76.2,0.36,0.2,0.38,0.06,3748.6,8.229,3.379
Trinidad and Tobago,TTO,Latin America & Caribbean,LAC,no,no,High,H,70.67,1.8,16.5,0.36,91.65,0.21,0.13,0.56,0.1,16352.1,9.702,-5.957
Tunisia,TUN,Middle East & North Africa,ENA,no,no,Lower middle,LM,75.73,2.2,11.7,1.14,32.95,0.24,0.15,0.53,0.08,3688.6,8.213,1.108
Turkey,TUR,Europe & Central Asia,ECA,no,yes,Upper middle,UM,75.76,2.1,10.9,1.57,26.11,0.25,0.16,0.5,0.08,10862.7,9.293,3.184
Turkmenistan,TKM,Europe & Central Asia,ECA,no,no,Upper middle,UM,67.84,2.9,43.4,1.73,49.6,0.31,0.18,0.47,0.04,6389.3,8.762,6.2
Uganda,UGA,Sub-Saharan Africa,SSA,no,no,Low,L,59.89,5.6,37.7,3.29,83.56,0.48,0.2,0.29,0.02,580.4,6.364,4.657
United Arab Emirates,ARE,Middle East & North Africa,ENA,no,no,High,H,77.26,1.7,6.6,1.25,14.2,0.14,0.11,0.74,0.01,38517.8,10.559,2.988
UK,GBR,Europe & Central Asia,ECA,yes,yes,High,H,80.96,1.8,3.7,0.71,17.17,0.18,0.12,0.52,0.18,40412,10.607,1.936
United Republic of Tanzania,TZA,Sub-Saharan Africa,SSA,no,no,Low,L,65.68,5,40.3,3.09,67.68,0.45,0.19,0.32,0.03,878.4,6.778,6.968
United States of America,USA,North America,NAM,no,yes,High,H,78.69,1.8,5.6,0.73,18.21,0.19,0.14,0.52,0.15,57588.5,10.961,1.485
Uruguay,URY,Latin America & Caribbean,LAC,no,no,High,H,77.49,2,7.9,0.36,4.54,0.21,0.15,0.49,0.15,15298.4,9.636,1.69
Uzbekistan,UZB,Europe & Central Asia,ECA,no,no,Lower middle,LM,71.31,2.5,21.4,1.74,63.52,0.28,0.19,0.49,0.04,2105.9,7.652,7.8
Vanuatu,VUT,East Asia & Pacific,EAP,no,no,Lower middle,LM,72.13,3.3,23.1,2.17,73.56,0.36,0.18,0.41,0.04,2914,7.977,4.001
Viet Nam,VNM,East Asia & Pacific,EAP,no,no,Lower middle,LM,76.25,2,17.3,1.06,65.76,0.23,0.16,0.54,0.07,2170.6,7.683,6.211
Yemen,YEM,Middle East & North Africa,ENA,no,no,Lower middle,LM,64.95,4,43.2,2.45,64.81,0.4,0.22,0.35,0.03,660.3,6.493,-34.34
Zambia,ZMB,Sub-Saharan Africa,SSA,no,no,Lower middle,LM,61.87,5,43.8,3,58.62,0.45,0.21,0.32,0.02,1263,7.141,3.757
Zimbabwe,ZWE,Sub-Saharan Africa,SSA,no,no,Low,L,61.16,3.8,40,2.34,67.72,0.41,0.2,0.35,0.03,1029.1,6.936,0.616
